m	FALSE	安徽	517	2146	124
f	FALSE	广东	1916	146220	4512
f	FALSE	湖南	314	236493	202
f	FALSE	河南	1249	2791	48
m	FALSE	北京	1143	2072	102
f	FALSE	辽宁	1507	2513	150
m	FALSE	广东	122	2367	637
f	FALSE	上海	1394	2458	3562
f	FALSE	北京	115	2091	3465
f	FALSE	海南	1997	3788	752
f	FALSE	江苏	1365	93466	1741
m	FALSE	广东	1708	3710	2671
f	FALSE	福建	141	11474	67
f	FALSE	河南	1583	4073	2933
m	FALSE	浙江	986	3699	372
m	FALSE	广东	1569	5147	1035
f	FALSE	北京	1735	109305	564
m	FALSE	北京	147	21430	410
f	FALSE	山东	67	15184	243
m	TRUE	北京	1823	3464	168
f	FALSE	北京	230	2069	135
m	FALSE	江苏	1568	5753	9469
f	FALSE	河南	1993	134525	525
m	FALSE	广东	238	3041	708
f	FALSE	北京	1969	3551	881
f	FALSE	广东	910	125357	797
m	FALSE	上海	1917	6904	1297
m	FALSE	广东	931	20804	1312
m	TRUE	其他	123	16505	145
f	FALSE	浙江	146	6207	2272
f	FALSE	辽宁	2000	5018	4309
m	FALSE	重庆	1873	215982	3147
f	FALSE	广东	297	3580	257
m	FALSE	北京	1174	2674	141
f	FALSE	澳门	1680	3309	1807
m	FALSE	北京	9	4388	69
m	FALSE	上海	1042	3041	429
f	FALSE	上海	1195	12788	1598
m	TRUE	浙江	1069	34232	2359
m	FALSE	天津	1675	4845	841
m	FALSE	陕西	1611	2892	775
f	FALSE	其他	1133	2369	170
m	FALSE	青海	1100	4715	1799
f	FALSE	广西	1862	12821	6739
m	FALSE	广东	305	22381	3245
f	FALSE	辽宁	434	6243	929
f	FALSE	辽宁	2000	4870	4958
m	FALSE	广东	1658	5341	7974
m	FALSE	北京	410	6108	959
m	FALSE	北京	1979	4901	805
f	FALSE	北京	1701	2118	140
f	FALSE	广东	1781	26274	3931
f	FALSE	北京	1883	4690	1463
m	FALSE	广东	1980	2019	1139
f	FALSE	海南	1799	12087	453
f	FALSE	贵州	1655	2138	321
m	TRUE	四川	1649	2242	3033
m	FALSE	广东	324	2268	1113
f	FALSE	江西	795	2450	77
f	FALSE	北京	1989	2500	572
f	FALSE	江西	1806	2150	41
f	FALSE	北京	837	2576	1367
f	FALSE	广东	706	2112	80
m	FALSE	广东	1656	2004	843
m	FALSE	广西	219	2554	38
f	FALSE	湖南	1919	2960	1142
f	FALSE	海南	1050	4769	216
m	FALSE	江苏	271	25853	7668
m	FALSE	安徽	1115	2214	209
f	FALSE	广东	224	6078	453
f	FALSE	海外	142	3238	3159
m	FALSE	江苏	1066	102923	3911
f	FALSE	湖北	1794	12575	3177
m	FALSE	云南	1940	2609	21
m	FALSE	上海	1687	2346	40
f	FALSE	海外	9	9510	174
f	FALSE	福建	7	10255	138
f	FALSE	北京	279	6450	136
m	FALSE	浙江	679	3591	82
f	FALSE	上海	2000	2164	1040
f	FALSE	北京	1962	9876	5832
f	FALSE	其他	12	3458	1632
f	FALSE	云南	1732	14504	1250
f	FALSE	安徽	213	3643	1196
f	FALSE	上海	1873	4469	7673
m	FALSE	其他	1905	2436	756
m	TRUE	广东	1617	14694	2471
m	FALSE	重庆	1331	2159	1183
m	FALSE	广东	271	2319	948
m	FALSE	广东	2000	2942	30031
m	FALSE	陕西	1920	2958	2625
m	FALSE	山东	1431	2908	126
f	FALSE	北京	953	235927	3954
m	FALSE	广东	235	2001	339
m	FALSE	重庆	172	2721	786
m	FALSE	江苏	269	16301	105
f	FALSE	北京	1841	26394	1147
m	FALSE	黑龙江	107	3703	566
f	FALSE	广东	556	6636	68
m	FALSE	广东	986	44112	2644
m	FALSE	广东	1480	7132	713
